uid,fullname,category,status,firstreading,phone,address,date_created,date_updated
19UUB2F52FA755844,Brady Hatterslay,true,true,0,887-852-8437,478 Prairieview Avenue,2024-01-10,2024-01-10
19UYA41783A267731,Filberto Bottby,false,true,9769.7,456-452-2475,17382 Sauthoff Court,2023-07-01,2023-08-14
1B3CB3HA8AD282020,Milton Dillestone,true,false,6673.4,742-583-3772,59103 Laurel Pass,2023-03-31,2023-06-20
1C6RD6JT9CS017998,Matias Merveille,true,false,9391.1,556-711-7398,489 Daystar Crossing,2023-09-14,2023-01-02
1C6RD7FPXCS067701,Marina Parren,false,true,6504.3,286-999-8282,890 Lakeland Trail,2023-10-16,2023-01-11
1D7RV1CT7AS968127,Leandra Caherny,true,false,2767.5,590-395-0106,97 Kingsford Pass,2023-10-21,2023-08-05
1FBAX2CM7FK689477,Ivett Cranton,false,false,5015.2,849-449-1311,225 2nd Place,2023-09-23,2023-06-16
1FMCU4K33AK158735,Keely Burgise,true,false,5495.9,868-873-5031,75 Pepper Wood Street,2023-01-13,2023-11-01
1FMJU1G55AE063995,Isacco Sarvar,false,false,1599,591-468-8752,28 Pierstorff Place,2023-04-21,2023-06-06
1FTEW1C8XFK447005,Catlin Bickerton,false,false,1491.4,502-270-6746,642 Carpenter Road,2023-11-08,2023-03-29
1FTMF1EW1AF287685,Kathrine Brittles,true,false,2467.1,871-439-3112,50 Jana Court,2023-10-31,2023-11-11
1FTSW2A57AE002486,Elisabet Pracy,true,true,5465.9,297-798-9695,40898 Beilfuss Pass,2023-01-31,2023-04-03
1FTSW2B58AE032921,Reginauld Oultram,true,false,5914.5,780-114-0156,04 Heath Point,2023-03-26,2023-07-10
1G4PR5SK2E4176351,Myriam Adiscot,false,true,9888,574-145-7925,354 Morningstar Street,2022-12-17,2023-01-02
1G4PS5SKXC4160299,Germaine Sinderson,false,false,5948.2,635-476-9854,020 Oxford Center,2023-06-25,2023-08-06
1G6AR5S35F0859840,Amble Demke,false,false,9196.5,359-136-7440,9547 Lerdahl Circle,2023-11-14,2023-03-12
1G6DM8E36D0662889,Court Ludewig,true,true,6989.7,969-999-5417,5 Crownhardt Park,2023-01-01,2022-11-22
1G6DM8EG6A0876425,Augustin Leavy,false,false,7134,673-814-6300,8154 Eliot Junction,2023-03-21,2023-08-20
